Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
*::*.Account groups serve as an organizational tool to streamline your financial overview.,Account groups serve as an organizational tool to streamline your financial overview.,Grupy kont służą jako narzędzie organizacyjne do usprawnienia przeglądu finansów.,A számlacsoportok szervezési eszközként szolgálnak a pénzügyi áttekintés egyszerűsítéséhez.,Les groupes de comptes servent d'outil d'organisation pour simplifier votre vue d'ensemble financière.,*,*,Account groups serve as an organizational tool to streamline your financial overview.,{locale}.json
*::*.Account history,Account history,Historia konta,Számla történet,Historique du compte,*,*,Account history,{locale}.json
*::*.Account scope,Account scope,Zakres konta,Számla szűkítés,Étendue du compte,*,*,Account scope,{locale}.json
*::*.Account summary calculations are in progress.,Account summary calculations are in progress.,Trwa obliczanie podsumowania konta.,A számlaösszesítő számításai folyamatban vannak.,Le calcul du récapitulatif de compte est en cours.,*,*,Account summary calculations are in progress.,{locale}.json
*::*.Account to,Account to,Na konto,Erre a számlára,Compte à,*,*,Account to,{locale}.json
*::*.Account updated,Account updated,Konto zaktualizowane,Számla frissítve,Compte mis à jour,*,*,Account updated,{locale}.json
*::*.Accounts,Accounts,Konta,Számlák,Comptes,*,*,Accounts,{locale}.json
*::*.Action after saving,Action after saving,Czynność po zapisaniu,Mentés utáni teendő,Action après enregistrement,*,*,Action after saving,{locale}.json
*::*.Actions,Actions,Akcje,Műveletek,Actes,*,*,Actions,{locale}.json
*::*.Active,Active,Aktywny,Aktív,Actif,*,*,Active,{locale}.json
*::*.Actual,Actual,Rzeczywisty,Tény,Réel,*,*,Actual,{locale}.json
*::*.Add Currency Rate,Add Currency Rate,Dodaj kurs waluty,Árfolyam hozzáadása,Ajouter le taux de change,*,*,Add Currency Rate,{locale}.json
*::*.Add Investment Price,Add Investment Price,Dodaj cenę inwestycji,,Ajouter le taux de change,*,*,Add Investment Price,{locale}.json
*::*.Add a category,Add a category,Dodaj kategorię,Kategória hozzáadása,Ajouter une catégorie,*,*,Add a category,{locale}.json
*::*.Add a currency,Add a currency,Dodaj walutę,Pénznem hozzáadása,Ajouter une devise,*,*,Add a currency,{locale}.json
*::*.Add a new payee,Add a new payee,Dodaj nowego odbiorcę,Új kedvezményezett hozzáadása,Ajouter un nouveau bénéficiaire,*,*,Add a new payee,{locale}.json
*::*.Add a payee,Add a payee,Dodaj odbiorcę,Kedvezményezett hozzáadása,Ajouter un bénéficiaire,*,*,Add a payee,{locale}.json
*::*.Add account group,Add account group,Dodaj grupę kont,Számla csoport hozzáadása,Ajouter un groupe de comptes,*,*,Add account group,{locale}.json
*::*.Add an account,Add an account,Dodaj konto,Számla hozzáadása,Ajouter un compte,*,*,Add an account,{locale}.json
*::*.Add an account group,Add an account group,Dodaj grupę kont,Számla csoport hozzáadása,Ajouter un groupe de comptes,*,*,Add an account group,{locale}.json
*::*.Add currency,Add currency,Dodaj walutę,Pénznem hozzáadása,Ajouter une devise,*,*,Add currency,{locale}.json
*::*.Add investment group,Add investment group,Dodaj grupę inwestycyjną,Befektetési csoport hozzáadása,Ajouter un groupe d'investissement,*,*,Add investment group,{locale}.json
*::*.Add new account,Add new account,Dodaj nowe konto,Új számla,Ajouter un nouveau compte,*,*,Add new account,{locale}.json
*::*.Add new category,Add new category,Dodaj nową kategorię,Új kategória,Ajouter une nouvelle catégorie,*,*,Add new category,{locale}.json
*::*.Add new investment,Add new investment,Dodaj nową inwestycję,Új befektetés,Ajouter de nouveaux investissements,*,*,Add new investment,{locale}.json
*::*.Add new investment price,Add new investment price,Dodaj nową cenę inwestycji,Új befektetési ár hozzáadása,Ajouter un nouveau prix d'investissement,*,*,Add new investment price,{locale}.json
*::*.Add new payee,Add new payee,Dodaj nowego odbiorcę,Új üzlet,Ajouter un nouveau bénéficiaire,*,*,Add new payee,{locale}.json
*::*.Add new rate,Add new rate,Dodaj nowy kurs,Új árfolyam hozzáadása,Ajouter un nouveau tarif,*,*,Add new rate,{locale}.json
*::*.Add new transaction,Add new transaction,Dodaj nową transakcję,Új tranzakció,Ajouter une nouvelle transaction,*,*,Add new transaction,{locale}.json
*::*.Add shares,Add shares,Dodaj udziały,Részvény hozzáadás,Ajouter des actions,*,*,Add shares,{locale}.json
*::*.Add tag,Add tag,Dodaj tag,Címke hozzáadása,Ajouter une étiquette,*,*,Add tag,{locale}.json
*::*.Add transaction,Add transaction,,Tranzakció hozzáadása,Ajouter une transaction,*,*,Add transaction,{locale}.json
*::*.Add your first transaction,Add your first transaction,,Első tranzakció hozzáadása,Ajoutez votre première transaction,*,*,Add your first transaction,{locale}.json
*::*.Added quantity,Added quantity,,Hozzáadott mennyiség,quantité ajoutée,*,*,Added quantity,{locale}.json
*::*.Adjust and enter instance,Adjust and enter instance,,Példány beállítása és megadása,Ajuster et saisir l'instance,*,*,Adjust and enter instance,{locale}.json
*::*.After merging,After merging,,Egyesítés után,Après la fusion,*,*,After merging,{locale}.json
*::*.Already handled,Already handled,,Már kezelve,Déjà traité,*,*,Already handled,{locale}.json
*::*.Amount,Amount,,Összeg,Montant,*,*,Amount,{locale}.json
*::*.Amount from,Amount from,,Összeg innen,Montant de,*,*,Amount from,{locale}.json
*::*.Amount to,Amount to,,Összeg,Montant à,*,*,Amount to,{locale}.json
*::*.Amounts,Amounts,,Összegek,Montants,*,*,Amounts,{locale}.json
*::*.An error occurred,An error occurred,,Hiba történt,Une erreur s'est produite.,*,*,An error occurred,{locale}.json
*::*.An error occurred. Please try again later.,An error occurred. Please try again later.,,"Hiba történt. Kérjük, próbálja meg később.",Une erreur s'est produite. Veuillez réessayer plus tard.,*,*,An error occurred. Please try again later.,{locale}.json
*::*.Annualized ROI,Annualized ROI,,Évesített megtérülés,Retour sur investissement annualisé,*,*,Annualized ROI,{locale}.json
*::*.Any,Any,,Bármi,N'importe lequel,*,*,Any,{locale}.json
*::*.Apply filters,Apply filters,,Szűrők alkalmazása,Appliquer les filtres,*,*,Apply filters,{locale}.json
*::*.Are you looking for any of these payees?,Are you looking for any of these payees?,Keresel valamelyik kedvezményezettet ezek közül?,Recherchez-vous l'un de ces bénéficiaires?,*,*,Are you looking for any of these payees?,{locale}.json
*::*.Are you sure to abandon this form?,Are you sure to abandon this form?,Biztosan elhagyod ezt az űrlapot?,Êtes-vous sûr de vouloir abandonner ce formulaire?,*,*,Are you sure to abandon this form?,{locale}.json
*::*.Are you sure to want to delete this item?,Are you sure to want to delete this item?,Biztosan törlöd ezt az elemet?,Êtes-vous sûr de vouloir supprimer cet élément?,*,*,Are you sure to want to delete this item?,{locale}.json
*::*.Are you sure to want to reprocess this email? Current data will be overwritten.,Are you sure to want to reprocess this email? Current data will be overwritten.,Biztosan újra feldolgozza ezt az e-mailt? A jelenlegi adatok felülírásra kerülnek.,Êtes-vous sûr de vouloir retraiter ce courriel? Les données actuelles seront écrasées.,*,*,Are you sure to want to reprocess this email? Current data will be overwritten.,{locale}.json
*::*.Are you sure you want to discard any changes?,Are you sure you want to discard any changes?,Biztosan elveti a módosításokat?,Êtes-vous sûr de vouloir annuler toutes les modifications?,*,*,Are you sure you want to discard any changes?,{locale}.json
*::*.Are you sure you want to merge these categories?,Are you sure you want to merge these categories?,Biztosan egyesíteni szeretné ezeket a kategóriákat?,Êtes-vous sûr de vouloir fusionner ces catégories?,*,*,Are you sure you want to merge these categories?,{locale}.json
*::*.Are you sure you want to merge these payees?,Are you sure you want to merge these payees?,Biztosan egyesíteni szeretné ezeket a kedvezményezetteket?,Êtes-vous sûr de vouloir fusionner ces bénéficiaires?,*,*,Are you sure you want to merge these payees?,{locale}.json
"*::*.Are you sure you want to set this currency as the default one?\n\nWhile this action is reversible, it starts a process that may take a while to complete.","Are you sure you want to set this currency as the default one?\n\nWhile this action is reversible, it starts a process that may take a while to complete.","Biztosan ezt a pénznemet szeretnéd alapértelmezettként beállítani?\n\nBár ez a művelet visszafordítható, elindít egy folyamatot, amelynek befejezése eltarthat egy ideig.","Êtes-vous sûr de vouloir définir cette devise comme devise par défaut?\n\nBien que cette action soit réversible, elle lance un processus qui peut prendre un certain temps à se terminer.",*,*,"Are you sure you want to set this currency as the default one?\n\nWhile this action is reversible, it starts a process that may take a while to complete.",{locale}.json
"*::*.Are you sure, you want to change the transaction type? Some data might get lost.","Are you sure, you want to change the transaction type? Some data might get lost.","Biztos benne, hogy módosítani szeretné a tranzakció típusát? Előfordulhat, hogy egyes adatok elvesznek.",Êtes-vous sûr de vouloir modifier le type de transaction? Des données pourraient être perdues.,*,*,"Are you sure, you want to change the transaction type? Some data might get lost.",{locale}.json
*::*.Assets,Assets,,Eszközök,Actifs,*,*,Assets,{locale}.json
*::*.Assign remaining amount to this item,Assign remaining amount to this item,,Fennmaradó összeg hozzárendelése,Attribuez le montant restant à cet article,*,*,Assign remaining amount to this item,{locale}.json
*::*.Automatic recording,Automatic recording,,Automatikus felvétel,Enregistrement automatique,*,*,Automatic recording,{locale}.json
*::*.Automatic update,Automatic update,,Automatikus frissítés,Mise à jour automatique,*,*,Automatic update,{locale}.json
*::*.Automation,Automation,,Automatizálás,Automation,*,*,Automation,{locale}.json
*::*.Base currency,Base currency,,Elsődleges pénznem,Monnaie de base,*,*,Base currency,{locale}.json
*::*.Base currency cannot be deleted,Base currency cannot be deleted,,Az elsődleges pénznem nem törölhető,La devise de base ne peut pas être supprimée,*,*,Base currency cannot be deleted,{locale}.json
*::*.Base currency changed,Base currency changed,,Az elsődleges pénznem módosítva,La monnaie de base a changé,*,*,Base currency changed,{locale}.json
*::*.Base currency is not set,Base currency is not set,,Az alappénznem nincs beállítva,La devise de base n'est pas définie.,*,*,Base currency is not set,{locale}.json
*::*.Basic,Basic,,Egyszerű,Basique,*,*,Basic,{locale}.json
"*::*.Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","Mielőtt folytatná, kérjük, ellenőrizze az e-mailjeit, hogy kapott-e ellenőrző linket.","Avant de continuer, veuillez vérifier votre boîte mail pour trouver un lien de vérification.",*,*,"Before proceeding, please check your email for a verification link.",{locale}.json
*::*.Budget,Budget,,Költségvetés,Budget,*,*,Budget,{locale}.json
*::*.Budget chart,Budget chart,,Költségvetési táblázat,Tableau budgétaire,*,*,Budget chart,{locale}.json
*::*.Budget inflation,Budget inflation,,Költségvetési infláció,Inflation budgétaire,*,*,Budget inflation,{locale}.json
"*::*.Budget is calculated using your base currency, unless you define an account with an other currency.","Budget is calculated using your base currency, unless you define an account with an other currency.","A költségvetés az alappénznemed alapján kerül kiszámításra, kivéve, ha más pénznemet használó számlát ad meg.","Le budget est calculé en utilisant votre devise de base, sauf si vous définissez un compte dans une autre devise.",*,*,"Budget is calculated using your base currency, unless you define an account with an other currency.",{locale}.json
*::*.Buy,Buy,,Vétel,Acheter,*,*,Buy,{locale}.json
*::*.Buying cost,Buying cost,,Vásárlási költség,coût d'achat,*,*,Buying cost,{locale}.json
*::*.Cached monthly summaries need to be recalculated. This may take a while. Please be patient.,Cached monthly summaries need to be recalculated. This may take a while. Please be patient.,,"A gyorsítótárazott havi összesítőket újra kell számolni. Ez eltarthat egy ideig. Kérjük, legyen türelmes.",Les récapitulatifs mensuels mis en cache doivent être recalculés. Cela peut prendre un certain temps. Veuillez patienter.,*,*,Cached monthly summaries need to be recalculated. This may take a while. Please be patient.,{locale}.json
*::*.Cancel,Cancel,,Mégsem,Annuler,*,*,Cancel,{locale}.json
*::*.Cannot merge a parent category into a child category.,Cannot merge a parent category into a child category.,Nem lehet szülő kategóriát gyermek kategóriával egyesíteni.,Impossible de fusionner une catégorie parente avec une catégorie enfant.,*,*,Cannot merge a parent category into a child category.,{locale}.json
*::*.Cash flow,Cash flow,,Pénzforgalom,Des flux de trésorerie,*,*,Cash flow,{locale}.json
*::*.Cash flow value,Cash flow value,,Cash flow érték,valeur des flux de trésorerie,*,*,Cash flow value,{locale}.json
*::*.Categories,Categories,,Kategóriák,Catégories,*,*,Categories,{locale}.json
*::*.Categories merged,Categories merged,,Kategóriák egyesítve,Catégories fusionnées,*,*,Categories merged,{locale}.json
*::*.Category,Category,,Kategória,Catégorie,*,*,Category,{locale}.json
*::*.Category active state changed,Category active state changed,,A kategória aktív állapota megváltozott,L'état actif de la catégorie a changé.,*,*,Category active state changed,{locale}.json
*::*.Category added,Category added,,Kategória létrehozva,Catégorie ajoutée,*,*,Category added,{locale}.json
*::*.Category deleted,Category deleted,,Kategória törölve,Catégorie supprimée,*,*,Category deleted,{locale}.json
"*::*.Category is in use, cannot be deleted","Category is in use, cannot be deleted","A kategória használatban van, nem törölhető",Cette catégorie est utilisée et ne peut pas être supprimée.,*,*,"Category is in use, cannot be deleted",{locale}.json
*::*.Category not found,Category not found,,Nem található kategória,Catégorie introuvable,*,*,Category not found,{locale}.json
*::*.Category preferences,Category preferences,,Kategóriabeállítások,Préférences de catégorie,*,*,Category preferences,{locale}.json
*::*.Category to be merged,Category to be merged,,Összevonandó kategória,Catégorie à fusionner,*,*,Category to be merged,{locale}.json
*::*.Category updated,Category updated,,Kategória frissítve,Catégorie mise à jour,*,*,Category updated,{locale}.json
*::*.Change Password,Change Password,,Jelszó Megváltoztatása,Changer le mot de passe,*,*,Change Password,{locale}.json
*::*.Child,Child,,Gyerek,Enfant,*,*,Child,{locale}.json
*::*.Clear selection,Clear selection,,Kijelölés törlése,Sélection claire,*,*,Clear selection,{locale}.json
*::*.Click here to sign in,Click here to sign in,,Kattints ide a bejelentkezéshez,Cliquez ici pour vous connecter,*,*,Click here to sign in,{locale}.json
*::*.Clone,Clone,,Másol,Cloner,*,*,Clone,{locale}.json
*::*.Clone existing transaction,Clone existing transaction,,Tranzakció másolása,Cloner une transaction existante,*,*,Clone existing transaction,{locale}.json
*::*.Clone scheduled transaction and close base item,Clone scheduled transaction and close base item,,Ütemezett tranzakció klónozása és alaptétel lezárása,Cloner la transaction planifiée et fermer l'élément de base,*,*,Clone scheduled transaction and close base item,{locale}.json
*::*.Clone transaction,Clone transaction,,Klón tranzakció,Transaction clonée,*,*,Clone transaction,{locale}.json
*::*.Close,Close,,Bezár,Fermer,*,*,Close,{locale}.json
*::*.Closed accounts are <strong>hidden</strong>,Closed accounts are <strong>hidden</strong>,,A lezárt számlák <strong>rejtettek</strong>,Les comptes fermés sont <strong>masqués</strong>,*,*,Closed accounts are <strong>hidden</strong>,{locale}.json
*::*.Closed accounts are <strong>included</strong>,Closed accounts are <strong>included</strong>,,A lezárt számlák <strong>beleértve</strong>,Les comptes clôturés sont <strong>inclus</strong>,*,*,Closed accounts are <strong>included</strong>,{locale}.json
*::*.Collapse all items,Collapse all items,,Az összes elem összecsukása,Réduire tous les éléments,*,*,Collapse all items,{locale}.json
*::*.Comment,Comment,,Megjegyzés,Commentaire,*,*,Comment,{locale}.json
*::*.Commission,Commission,,Jutalék,Commission,*,*,Commission,{locale}.json
*::*.Commissions,Commissions,,Jutalékok,Commissions,*,*,Commissions,{locale}.json
*::*.Confirm new password,Confirm new password,,Új jelszó megerősítése,Confirmer le nouveau mot de passe,*,*,Confirm new password,{locale}.json
*::*.Confirm password,Confirm password,,Jelszó megerősítése,Confirmez le mot de passe,*,*,Confirm password,{locale}.json
*::*.Congratulations! Keep using YAFFA. You can dismiss this widget.,Congratulations! Keep using YAFFA. You can dismiss this widget.,,Gratulálunk! Használd tovább a YAFFA-t. Elrejtheted ezt a widgetet.,Félicitations! Continuez à utiliser YAFFA. Vous pouvez fermer ce widget.,*,*,Congratulations! Keep using YAFFA. You can dismiss this widget.,{locale}.json
"*::*.Controls how numbers, dates, currencies are formatted.","Controls how numbers, dates, currencies are formatted.","A YAFFA által használ szám, dátum és pénznem formátum.","Contrôle le formatage des nombres, des dates et des devises.",*,*,"Controls how numbers, dates, currencies are formatted.",{locale}.json
*::*.Controls the language used in YAFFA.,Controls the language used in YAFFA.,,A YAFFA megjelenési nyelve.,Contrôle la langue utilisée dans YAFFA.,*,*,Controls the language used in YAFFA.,{locale}.json
*::*.Count,Count,,Gróf,Compter,*,*,Count,{locale}.json
*::*.Create an account to start using YAFFA,Create an account to start using YAFFA,,A YAFFA használatához hozz létre egy számlát,Créez un compte pour commencer à utiliser YAFFA,*,*,Create an account to start using YAFFA,{locale}.json
*::*.Create from existing values,Create from existing values,,Létrehozás meglévő értékekből,Créer à partir de valeurs existantes,*,*,Create from existing values,{locale}.json
*::*.Currencies,Currencies,,Pénznemek,devises,*,*,Currencies,{locale}.json
*::*.Currency,Currency,,Pénznem,Devise,*,*,Currency,{locale}.json
*::*.Currency added,Currency added,,Pénznem létrehozva,Devise ajoutée,*,*,Currency added,{locale}.json
*::*.Currency deleted,Currency deleted,,Pénznem törölve,Monnaie supprimée,*,*,Currency deleted,{locale}.json
"*::*.Currency is in use, cannot be deleted","Currency is in use, cannot be deleted","A pénznem használatban van, nem törölhető","La devise est utilisée, elle ne peut pas être supprimée.",*,*,"Currency is in use, cannot be deleted",{locale}.json
*::*.Currency rate added,Currency rate added,,Árfolyam hozzáadva,Taux de change ajouté,*,*,Currency rate added,{locale}.json
*::*.Currency rate deleted,Currency rate deleted,,Árfolyam törölve,Taux de change supprimé,*,*,Currency rate deleted,{locale}.json
*::*.Currency rate updated,Currency rate updated,,Árfolyam frissítve,Taux de change mis à jour,*,*,Currency rate updated,{locale}.json
*::*.Currency rate values,Currency rate values,,Árfolyam értékek,taux de change,*,*,Currency rate values,{locale}.json
*::*.Currency rates,Currency rates,,Valuta árfolyamok,taux de change,*,*,Currency rates,{locale}.json
*::*.Currency updated,Currency updated,,Pénznem frissítve,Mise à jour de la devise,*,*,Currency updated,{locale}.json
*::*.Current Password,Current Password,,Mostani Jelszó,Mot de passe actuel,*,*,Current Password,{locale}.json
*::*.Current assets,Current assets,,Forgóeszközök,Actifs courants,*,*,Current assets,{locale}.json
*::*.Current balance with investments,Current balance with investments,,Jelenlegi egyenleg befektetésekkel,Solde actuel des investissements,*,*,Current balance with investments,{locale}.json
*::*.Current cash value,Current cash value,,Jelenlegi pénzérték,valeur marchande actuelle,*,*,Current cash value,{locale}.json
*::*.Customize,Customize,,Testreszabás,Personnaliser,*,*,Customize,{locale}.json
*::*.Customize YAFFA,Customize YAFFA,,YAFFA testreszabása,Personnaliser YAFFA,*,*,Customize YAFFA,{locale}.json
*::*.Daily,Daily,,Naponta,Tous les jours,*,*,Daily,{locale}.json
*::*.Dashboard,Dashboard,,Áttekintés,Tableau de bord,*,*,Dashboard,{locale}.json
*::*.Database error:,Database error:,,Adatbázis hiba:,Erreur de base de données:,*,*,Database error:,{locale}.json
*::*.Date,Date,,Dátum,Date,*,*,Date,{locale}.json
*::*.Date from,Date from,,Dátum ettől,Dater de,*,*,Date from,{locale}.json
*::*.Date to,Date to,,Dátum eddig,Date à,*,*,Date to,{locale}.json
*::*.Default,Default,,Alapértelmezett,Défaut,*,*,Default,{locale}.json
*::*.Default category,Default category,,Alapértelmezett kategória,Catégorie par défaut,*,*,Default category,{locale}.json
*::*.Delete,Delete,,Törlés,Supprimer,*,*,Delete,{locale}.json
*::*.Delete email,Delete email,,E-mail törlése,Supprimer l'e-mail,*,*,Delete email,{locale}.json
*::*.Delete merged category,Delete merged category,,Egyesített kategória törlése,Supprimer la catégorie fusionnée,*,*,Delete merged category,{locale}.json
*::*.Delete merged payee,Delete merged payee,,Egyesített kedvezményezett törlése,Supprimer le bénéficiaire fusionné,*,*,Delete merged payee,{locale}.json
*::*.Deleting rate...,Deleting rate...,,Árfolyam törlése...,Taux de suppression...,*,*,Deleting rate...,{locale}.json
*::*.Deleting transaction #:transactionId,Deleting transaction #:transactionId,,Tranzakció törlése #:transactionId,Suppression de la transaction n° :transactionId,*,*,Deleting transaction #:transactionId,{locale}.json
*::*.Deposit,Deposit,,Bevétel,Dépôt,*,*,Deposit,{locale}.json
*::*.Details,Details,,Részletek,Détails,*,*,Details,{locale}.json
*::*.Details of transaction #:transaction,Details of transaction #:transaction,,Tranzakció részletei #:transaction,Détails de la transaction n° :transaction,*,*,Details of transaction #:transaction,{locale}.json
*::*.Dismiss,Dismiss,,Eltűntet,Rejeter,*,*,Dismiss,{locale}.json
*::*.Dividend,Dividend,,Osztalék,Dividende,*,*,Dividend,{locale}.json
*::*.Do you have an account?,Do you have an account?,Van már fiókod?,Avez-vous un compte?,*,*,Do you have an account?,{locale}.json
*::*.Don't show category recommendations for this payee any more,Don't show category recommendations for this payee any more,,Ne mutasson többé kategória-ajánlásokat ehhez a kedvezményezetthez,Ne plus afficher de recommandations de catégories pour ce bénéficiaire,*,*,Don't show category recommendations for this payee any more,{locale}.json
*::*.E-Mail Address,Email,,E-mail cím,E-mail,*,*,E-Mail Address,{locale}.json
*::*.Edit,Edit,,Szerkesztés,Modifier,*,*,Edit,{locale}.json
*::*.Edit Currency Rate,Edit Currency Rate,,Árfolyam szerkesztése,Modifier le taux de change,*,*,Edit Currency Rate,{locale}.json
*::*.Edit Investment Price,Edit Investment Price,,,,*,*,Edit Investment Price,{locale}.json
*::*.Edit and create new schedule,Edit and create new schedule,,Szerkesztés és új ütemterv létrehozása,Modifier et créer un nouvel horaire,*,*,Edit and create new schedule,{locale}.json
*::*.Edit and insert instance,Edit and insert instance,,Példány szerkesztése és beszúrása,Modifier et insérer une instance,*,*,Edit and insert instance,{locale}.json
*::*.Edit payee,Edit payee,,Kedvezményezett szerkesztése,Modifier le bénéficiaire,*,*,Edit payee,{locale}.json
*::*.Edit transaction,Edit transaction,,Tranzakció szerkesztése,Modifier la transaction,*,*,Edit transaction,{locale}.json
*::*.Email,Email address,,Email cím,Adresse email,*,*,Email,{locale}.json
*::*.Email address verified,Email address verified,,E-mail cím ellenőrizve,Adresse e-mail vérifiée,*,*,Email address verified,{locale}.json
*::*.Email deleted,Email deleted,,E-mail törölve,Courriel supprimé,*,*,Email deleted,{locale}.json
*::*.Email received by YAFFA,Email received by YAFFA,,A YAFFA által kapott e-mail,Courriel reçu par YAFFA,*,*,Email received by YAFFA,{locale}.json
*::*.Emails received by YAFFA,Emails received by YAFFA,,A YAFFA által fogadott e-mailek,Courriels reçus par YAFFA,*,*,Emails received by YAFFA,{locale}.json
*::*.End date,End date,,Befejezési dátum,Date de fin,*,*,End date,{locale}.json
*::*.End date for YAFFA,End date for YAFFA,,YAFFA befejező dátum,Date de fin pour YAFFA,*,*,End date for YAFFA,{locale}.json
*::*.English,English,,Angol,Anglais,*,*,English,{locale}.json
*::*.Enter instance,Enter instance,,Példány megadása,Saisissez l'instance,*,*,Enter instance,{locale}.json
*::*.Enter schedule instance,Enter schedule instance,,Ütemezési példány megadása,Saisissez l'instance de planification,*,*,Enter schedule instance,{locale}.json
*::*.Enter scheduled transaction instance,Enter scheduled transaction instance,,Ütemezett tranzakciópéldány megadása,Saisir l'instance de transaction planifiée,*,*,Enter scheduled transaction instance,{locale}.json
*::*.Error,Error,,Hiba,Erreur,*,*,Error,{locale}.json
*::*.Error changing investment active state,Error changing investment active state,,Hiba történt a befektetés aktív állapotának módosításakor,Erreur lors du changement d'état actif de l'investissement,*,*,Error changing investment active state,{locale}.json
*::*.Error changing tag active state,Error changing tag active state,,Hiba a címke aktív állapotának módosításakor,Erreur lors du changement d'état actif de l'étiquette,*,*,Error changing tag active state,{locale}.json
*::*.Error deleting transaction (#:transactionId): :error,Error deleting transaction (#:transactionId): :error,,Hiba a tranzakció törlésekor (#:transactionId): :error,Erreur lors de la suppression de la transaction (#:transactionId): :error,*,*,Error deleting transaction (#:transactionId): :error,{locale}.json
*::*.Error skipping transaction (#:transactionId): :error,Error skipping transaction (#:transactionId): :error,,Hiba a tranzakció kihagyásakor (#:transactionId): :error,Erreur lors de l'omission de la transaction (#:transactionId): :error,*,*,Error skipping transaction (#:transactionId): :error,{locale}.json
*::*.Error while changing account active state.,Error while changing account active state.,,Hiba történt a számla aktív állapotának módosításakor.,Erreur lors de la modification de l'état actif du compte.,*,*,Error while changing account active state.,{locale}.json
*::*.Error while changing category active state.,Error while changing category active state.,,Hiba történt a kategória aktív állapotának módosításakor.,Erreur lors du changement d'état actif de la catégorie.,*,*,Error while changing category active state.,{locale}.json
*::*.Error while fetching account balance data,Error while fetching account balance data,,Hiba történt a számlaegyenleg adatok lekérésekor,Erreur lors de la récupération des données du solde du compte,*,*,Error while fetching account balance data,{locale}.json
*::*.Error while retrieving data,Error while retrieving data,,Hiba az adatok lekérésekor,Erreur lors de la récupération des données,*,*,Error while retrieving data,{locale}.json
*::*.Error while trying to delete account,Error while trying to delete account,,Hiba történt a számla törlése közben,Erreur lors de la tentative de suppression du compte,*,*,Error while trying to delete account,{locale}.json
*::*.Error while trying to delete account group: ,Error while trying to delete account group: ,,Hiba történt a számla csoport törlése közben:,Erreur lors de la tentative de suppression du groupe de comptes:,*,*,Error while trying to delete account group: ,{locale}.json
